molecule,smiles,max_abs,loge,max_em,stokes,yield,doi,solvent,dc,etn
BTD-3,CN1C2=C(C=CC=C2)C(=N1)/C=C/C3=CC=CC4=NSN=C34,410.0,,551.0,141.0,,https://doi.org/10.24820/ark.5550190.p012.096,DCM,8.93,0.309
BTD-4,CN1C(=C2C=CC=CC2=N1)/C=C/C3=CC=CC4=NSN=C34,430.0,,584.0,154.0,,https://doi.org/10.24820/ark.5550190.p012.096,DCM,8.93,0.309
NK1,CC1=CC=CC(=C1)C2=CC=C(C3=CC=CC(=C3)C)C4=NSN=C24,,,484.0,,,https://doi.org/10.1515/chem-2023-0150,TOL,2.3741,0.099
NK1,CC1=CC=CC(=C1)C2=CC=C(C3=CC=CC(=C3)C)C4=NSN=C24,,,491.0,,,https://doi.org/10.1515/chem-2023-0150,THF,7.58,0.605
NK1,CC1=CC=CC(=C1)C2=CC=C(C3=CC=CC(=C3)C)C4=NSN=C24,,,491.0,,,https://doi.org/10.1515/chem-2023-0150,Ac,20.7,0.355
NK1,CC1=CC=CC(=C1)C2=CC=C(C3=CC=CC(=C3)C)C4=NSN=C24,446.0,,492.0,46.0,,https://doi.org/10.1515/chem-2023-0150,CFM,4.81,0.259
NK1,CC1=CC=CC(=C1)C2=CC=C(C3=CC=CC(=C3)C)C4=NSN=C24,,,493.0,,,https://doi.org/10.1515/chem-2023-0150,ACN,37.5,0.46
NK2,C1=C(C2=CC(=C(C(=C2)F)F)F)C3=NSN=C3C(=C1)C4=CC(=C(C(=C4)F)F)F,,,485.0,,,https://doi.org/10.1515/chem-2023-0150,TOL,2.3741,0.099
NK2,C1=C(C2=CC(=C(C(=C2)F)F)F)C3=NSN=C3C(=C1)C4=CC(=C(C(=C4)F)F)F,,,488.0,,,https://doi.org/10.1515/chem-2023-0150,THF,7.58,0.605
NK2,C1=C(C2=CC(=C(C(=C2)F)F)F)C3=NSN=C3C(=C1)C4=CC(=C(C(=C4)F)F)F,,,492.0,,,https://doi.org/10.1515/chem-2023-0150,Ac,20.7,0.355
NK2,C1=C(C2=CC(=C(C(=C2)F)F)F)C3=NSN=C3C(=C1)C4=CC(=C(C(=C4)F)F)F,458.0,,492.0,34.0,,https://doi.org/10.1515/chem-2023-0150,CFM,4.81,0.259
NK2,C1=C(C2=CC(=C(C(=C2)F)F)F)C3=NSN=C3C(=C1)C4=CC(=C(C(=C4)F)F)F,,,494.0,,,https://doi.org/10.1515/chem-2023-0150,ACN,37.5,0.46
NK3,CC1=CC=CC(=C1)C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=CC(=C5)C)S4)C6=NSN=C36)S2,,,606.0,,,https://doi.org/10.1515/chem-2023-0150,TOL,2.3741,0.099
NK3,CC1=CC=CC(=C1)C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=CC(=C5)C)S4)C6=NSN=C36)S2,,,604.0,,,https://doi.org/10.1515/chem-2023-0150,THF,7.58,0.605
NK3,CC1=CC=CC(=C1)C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=CC(=C5)C)S4)C6=NSN=C36)S2,,,610.0,,,https://doi.org/10.1515/chem-2023-0150,Ac,20.7,0.355
NK3,CC1=CC=CC(=C1)C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=CC(=C5)C)S4)C6=NSN=C36)S2,487.0,,608.0,121.0,,https://doi.org/10.1515/chem-2023-0150,CFM,4.81,0.259
NK3,CC1=CC=CC(=C1)C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=CC(=C5)C)S4)C6=NSN=C36)S2,,,609.0,,,https://doi.org/10.1515/chem-2023-0150,ACN,37.5,0.46
XBTD-NPh,CC(C)(C)c1nc2c3nc(c4cc(ccc4c3c5nsnc5c2c6ccc(cc16)N(c7ccccc7)c8ccccc8)N(c9ccccc9)c%10ccccc%10)C(C)(C)C,468.0,,531.0,63.0,,https://doi.org/10.1039/d2cc05615a,PHME,2.3741,0.099
XBTD-NPh,CC(C)(C)c1nc2c3nc(c4cc(ccc4c3c5nsnc5c2c6ccc(cc16)N(c7ccccc7)c8ccccc8)N(c9ccccc9)c%10ccccc%10)C(C)(C)C,475.0,,571.0,96.0,,https://doi.org/10.1039/d2cc05615a,CFM,4.81,0.259
XBTD-NPh,CC(C)(C)c1nc2c3nc(c4cc(ccc4c3c5nsnc5c2c6ccc(cc16)N(c7ccccc7)c8ccccc8)N(c9ccccc9)c%10ccccc%10)C(C)(C)C,468.0,,560.0,92.0,,https://doi.org/10.1039/d2cc05615a,THF,7.58,0.605
XBTD-NPh,CC(C)(C)c1nc2c3nc(c4cc(ccc4c3c5nsnc5c2c6ccc(cc16)N(c7ccccc7)c8ccccc8)N(c9ccccc9)c%10ccccc%10)C(C)(C)C,469.0,,630.0,161.0,,https://doi.org/10.1039/d2cc05615a,MeOH,32.613,0.762
XBTD-NPh,CC(C)(C)c1nc2c3nc(c4cc(ccc4c3c5nsnc5c2c6ccc(cc16)N(c7ccccc7)c8ccccc8)N(c9ccccc9)c%10ccccc%10)C(C)(C)C,470.0,,631.0,161.0,,https://doi.org/10.1039/d2cc05615a,DMSO,46.826,0.444
BT-Ph-TPE,"C1C=C[C@@](/C(/C2C=CC=CC=2)=C(/C2C=CC(/C(/C#N)=C/C3C=CC(C4C5C(=NSN=5)C(C5C=CC(/C=C(/C6C=C[C@@](/C(/C7C=CC=CC=7)=C(/C7C=CC=CC=7)\C7C=CC=CC=7)=CC=6)\C#N)=CC=5)=CC=4)=CC=3)=CC=2)\C2C=CC=CC=2)=CC=1",420.0,,,,,https://doi.org/10.1016/j.molstruc.2022.133435,THF,7.58,0.605
BT-Th-TPE,"C1C=C[C@@](/C(/C2C=CC=CC=2)=C(/C2C=CC(/C(/C#N)=C/C3SC(C4C5C(=NSN=5)C(C5SC(/C=C(/C6C=C[C@@](/C(/C7C=CC=CC=7)=C(\C7C=CC=CC=7)/C7C=CC=CC=7)=CC=6)\C#N)=CC=5)=CC=4)=CC=3)=CC=2)\C2C=CC=CC=2)=CC=1",524.0,,,,,https://doi.org/10.1016/j.molstruc.2022.133435,THF,7.58,0.605
BTD-1,CCCCNC1=CC=C(C2=CC=C(C=C2)OC)C3=NSN=C13,495.0,,,,,https://doi.org/10.1007/s10965-022-03266-1,DCM,8.93,0.309
BTD-2,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)NC4=CC=C(C=C4)C#N,461.0,,,,,https://doi.org/10.1007/s10965-022-03266-1,DCM,8.93,0.309
BTD-3,CN1C2=C(C=CC=C2)C(=N1)/C=C/C3=CC=CC4=NSN=C34,430.0,,,,,https://doi.org/10.1007/s10965-022-03266-1,DCM,8.93,0.309
YN1,COC1=CC=C(C=C1)N(C2=CC=C(C=C2)C3=CC=C(C4=CC=C(C=C4)N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=NSN=C37)C8=CC=C(C=C8)OC,485.0,,629.0,144.0,,https://doi.org/10.1016/j.synthmet.2022.117136,VAC,0.0,0.0
SM21,CC1=CC=C(C2=CC=C(C3=CC=C(C)S3)C4=NSN=C24)S1,557.0,,724.0,167.0,,https://doi.org/10.1016/j.synthmet.2022.117136,VAC,0.0,0.0
SM22,CC1=CC2=C(C=C(C3=CC=C(C4=CC5=C(C=C(C)S5)S4)C6=NSN=C36)S2)S1,565.0,,734.0,169.0,,https://doi.org/10.1016/j.synthmet.2022.117136,VAC,0.0,0.0
SM23,CC1=CC2=C(C3=C(C4=C(C5=NSN=C35)C6=C(C=C(C)S6)N4C)N2C)S1,457.0,,577.0,120.0,,https://doi.org/10.1016/j.synthmet.2022.117136,VAC,0.0,0.0
SM24,CC1=CC2=C(C3=C(C4=C(C5=C(C6=NSN=C46)C7=C(C8=C(C=C(C)S8)S7)N5C)N3C)S2)S1,458.0,,572.0,114.0,,https://doi.org/10.1016/j.synthmet.2022.117136,VAC,0.0,0.0
SM25,CC1=CC2=C(C3=C(C4=C(C5=NSN=C35)C6=C(C=C(C)S6)S4)S2)S1,503.0,,637.0,134.0,,https://doi.org/10.1016/j.synthmet.2022.117136,VAC,0.0,0.0
SM26,CC1=CC2=C(C3=C(C4=C(C5=C(C6=C(C7=C(C=C(C)S7)S6)S5)C8=NSN=C48)S3)S2)S1,513.0,,647.0,134.0,,https://doi.org/10.1016/j.synthmet.2022.117136,VAC,0.0,0.0
4A,CC(C)(C)C1=NC2=C(C3=CC=CC=C3)C4=NSN=C4C(=C2N1)C5=CC=CC=C5,444.0,,518.0,74.0,0.63,https://doi.org/10.1016/j.dyepig.2022.110531,PHME,2.3741,0.099
4A,CC(C)(C)C1=NC2=C(C3=CC=CC=C3)C4=NSN=C4C(=C2N1)C5=CC=CC=C5,440.0,,526.0,86.0,0.66,https://doi.org/10.1016/j.dyepig.2022.110531,CFM,4.81,0.259
4A,CC(C)(C)C1=NC2=C(C3=CC=CC=C3)C4=NSN=C4C(=C2N1)C5=CC=CC=C5,445.0,,520.0,75.0,0.8,https://doi.org/10.1016/j.dyepig.2022.110531,THF,7.58,0.605
4A,CC(C)(C)C1=NC2=C(C3=CC=CC=C3)C4=NSN=C4C(=C2N1)C5=CC=CC=C5,435.0,,547.0,112.0,0.64,https://doi.org/10.1016/j.dyepig.2022.110531,MeOH,32.613,0.762
4A,CC(C)(C)C1=NC2=C(C3=CC=CC=C3)C4=NSN=C4C(=C2N1)C5=CC=CC=C5,445.0,,541.0,96.0,0.57,https://doi.org/10.1016/j.dyepig.2022.110531,DMSO,46.826,0.444
4A,CC(C)(C)C1=NC2=C(C3=CC=CC=C3)C4=NSN=C4C(=C2N1)C5=CC=CC=C5,440.0,,,,,https://doi.org/10.1016/j.dyepig.2022.110531,H2O,78.35,1.0
4B,CC(C)(C)C1=NC2=C(C3=CC=CC4=C3C=CC=C4)C5=NSN=C5C(=C2N1)C6=C7C=CC=CC7=CC=C6,425.0,,507.0,82.0,0.19,https://doi.org/10.1016/j.dyepig.2022.110531,PHME,2.3741,0.099
4B,CC(C)(C)C1=NC2=C(C3=CC=CC4=C3C=CC=C4)C5=NSN=C5C(=C2N1)C6=C7C=CC=CC7=CC=C6,424.0,,517.0,93.0,0.28,https://doi.org/10.1016/j.dyepig.2022.110531,CFM,4.81,0.259
4B,CC(C)(C)C1=NC2=C(C3=CC=CC4=C3C=CC=C4)C5=NSN=C5C(=C2N1)C6=C7C=CC=CC7=CC=C6,424.0,,507.0,83.0,0.28,https://doi.org/10.1016/j.dyepig.2022.110531,THF,7.58,0.605
4B,CC(C)(C)C1=NC2=C(C3=CC=CC4=C3C=CC=C4)C5=NSN=C5C(=C2N1)C6=C7C=CC=CC7=CC=C6,419.0,,528.0,109.0,0.43,https://doi.org/10.1016/j.dyepig.2022.110531,MeOH,32.613,0.762
4B,CC(C)(C)C1=NC2=C(C3=CC=CC4=C3C=CC=C4)C5=NSN=C5C(=C2N1)C6=C7C=CC=CC7=CC=C6,427.0,,525.0,98.0,0.46,https://doi.org/10.1016/j.dyepig.2022.110531,DMSO,46.826,0.444
4B,CC(C)(C)C1=NC2=C(C3=CC=CC4=C3C=CC=C4)C5=NSN=C5C(=C2N1)C6=C7C=CC=CC7=CC=C6,430.0,,535.0,105.0,0.04,https://doi.org/10.1016/j.dyepig.2022.110531,H2O,78.35,1.0
4C,CC(C)(C)C1=NC2=C(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=NSN=C6C(=C2N1)C7=CC=C(C=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,492.0,,622.0,130.0,0.46,https://doi.org/10.1016/j.dyepig.2022.110531,PHME,2.3741,0.099
4C,CC(C)(C)C1=NC2=C(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=NSN=C6C(=C2N1)C7=CC=C(C=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,498.0,,645.0,147.0,0.37,https://doi.org/10.1016/j.dyepig.2022.110531,CFM,4.81,0.259
4C,CC(C)(C)C1=NC2=C(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=NSN=C6C(=C2N1)C7=CC=C(C=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,489.0,,628.0,139.0,0.48,https://doi.org/10.1016/j.dyepig.2022.110531,THF,7.58,0.605
4C,CC(C)(C)C1=NC2=C(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=NSN=C6C(=C2N1)C7=CC=C(C=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,431.0,,,,,https://doi.org/10.1016/j.dyepig.2022.110531,MeOH,32.613,0.762
4C,CC(C)(C)C1=NC2=C(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=NSN=C6C(=C2N1)C7=CC=C(C=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,489.0,,665.0,176.0,0.32,https://doi.org/10.1016/j.dyepig.2022.110531,DMSO,46.826,0.444
4C,CC(C)(C)C1=NC2=C(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)C6=NSN=C6C(=C2N1)C7=CC=C(C=C7)N(C8=CC=CC=C8)C9=CC=CC=C9,490.0,,660.0,170.0,0.01,https://doi.org/10.1016/j.dyepig.2022.110531,H2O,78.35,1.0
BTIC-2CL-gCF3,CC1=C(/C=C\2/C(=C(C#N)C#N)C3=CC(=C(C=C3C2=O)Cl)Cl)SC4=C1SC5=C4N(C)C6=C5C7=NSN=C7C8=C6N(C)C9=C8SC%10=C9SC(=C%10C)/C=C\%11/C(=C(C#N)C#N)C%12=CC=C(C=C%12C%11=O)C(F)(F)F,684.0,,,,,https://doi.org/10.1016/j.cplett.2022.139726,VAC,0.0,0.0
BTA1,CC1=C(/C=C(/C(F)(F)F)\C(F)(F)F)SC2=C1SC3=C2N(C)C4=C3C5=NSN=C5C6=C4N(C)C7=C6SC8=C7SC(=C8C)/C=C(/C(F)(F)F)\C(F)(F)F,515.0,,,,,https://doi.org/10.1016/j.cplett.2022.139726,VAC,0.0,0.0
BTA2,CC1=C(/C=C(\C(=O)OC)/O)SC2=C1SC3=C2N(C)C4=C3C5=NSN=C5C6=C4N(C)C7=C6SC8=C7SC(=C8C)/C=C(\C(=O)OC)/O,549.0,,,,,https://doi.org/10.1016/j.cplett.2022.139726,VAC,0.0,0.0
BTA3,CC1=C(/C=C\2/C(=O)NC(=S)S2)SC3=C1SC4=C3N(C)C5=C4C6=NSN=C6C7=C5N(C)C8=C7SC9=C8SC(=C9C)/C=C\%10/C(=O)NC(=S)S%10,637.0,,,,,https://doi.org/10.1016/j.cplett.2022.139726,VAC,0.0,0.0
BTA4,CC1=C(/C=C\2/C(=O)NC(=C(C#N)C#N)S2)SC3=C1SC4=C3N(C)C5=C4C6=NSN=C6C7=C5N(C)C8=C7SC9=C8SC(=C9C)/C=C\%10/C(=O)NC(=C(C#N)C#N)S%10,599.0,,,,,https://doi.org/10.1016/j.cplett.2022.139726,VAC,0.0,0.0
styril-BTD-4,COC1=CC=C(C=C1)OC2=CC=C(C=CC3=CC=CC=C3)C4=NSN=C24,420.0,,534.0,114.0,0.31,https://doi.org/10.1016/j.jlumin.2022.118920,CHX,2.02,0.006
styril-BTD-4,COC1=CC=C(C=C1)OC2=CC=C(C=CC3=CC=CC=C3)C4=NSN=C24,421.0,,542.0,121.0,,https://doi.org/10.1016/j.jlumin.2022.118920,PHME,2.3741,0.099
styril-BTD-4,COC1=CC=C(C=C1)OC2=CC=C(C=CC3=CC=CC=C3)C4=NSN=C24,421.0,,557.0,136.0,,https://doi.org/10.1016/j.jlumin.2022.118920,DCM,8.93,0.309
styril-BTD-4,COC1=CC=C(C=C1)OC2=CC=C(C=CC3=CC=CC=C3)C4=NSN=C24,415.0,,563.0,148.0,,https://doi.org/10.1016/j.jlumin.2022.118920,MeCN,37.5,0.46
styril-BTD-4,COC1=CC=C(C=C1)OC2=CC=C(C=CC3=CC=CC=C3)C4=NSN=C24,420.0,,578.0,158.0,,https://doi.org/10.1016/j.jlumin.2022.118920,EtOH,24.852,0.654
styril-BTD-5,C1=CC=C(C=C1)/C=C/C2=CC=C(C3=C(C=CC=C3)C4=CC=CC=C4)C5=NSN=C25,409.0,,503.0,94.0,0.55,https://doi.org/10.1016/j.jlumin.2022.118920,CHX,2.02,0.006
styril-BTD-5,C1=CC=C(C=C1)/C=C/C2=CC=C(C3=C(C=CC=C3)C4=CC=CC=C4)C5=NSN=C25,411.0,,517.0,106.0,,https://doi.org/10.1016/j.jlumin.2022.118920,PHME,2.3741,0.099
styril-BTD-5,C1=CC=C(C=C1)/C=C/C2=CC=C(C3=C(C=CC=C3)C4=CC=CC=C4)C5=NSN=C25,409.0,,525.0,116.0,,https://doi.org/10.1016/j.jlumin.2022.118920,DCM,8.93,0.309
styril-BTD-5,C1=CC=C(C=C1)/C=C/C2=CC=C(C3=C(C=CC=C3)C4=CC=CC=C4)C5=NSN=C25,404.0,,529.0,125.0,,https://doi.org/10.1016/j.jlumin.2022.118920,MeCN,37.5,0.46
styril-BTD-5,C1=CC=C(C=C1)/C=C/C2=CC=C(C3=C(C=CC=C3)C4=CC=CC=C4)C5=NSN=C25,407.0,,544.0,137.0,,https://doi.org/10.1016/j.jlumin.2022.118920,EtOH,24.852,0.654
BTD-1,CCCCNC1=CC=C(C2=CC=C(C=C2)OC)C3=NSN=C13,403.0,,534.0,131.0,37,https://doi.org/10.3390/molecules27123857,TOL,2.3741,0.099
BTD-2,COC1=CC=C(C=C1)C2=CC=C(C3=NSN=C23)NC4=CC=C(C=C4)C#N,414.0,,527.0,113.0,94,https://doi.org/10.3390/molecules27123857,TOL,2.3741,0.099
BTD-3,CN1C2=C(C=CC=C2)C(=N1)/C=C/C3=CC=CC4=NSN=C34,413.0,,520.0,107.0,100,https://doi.org/10.3390/molecules27123857,TOL,2.3741,0.099
BTD-4,CN1C(=C2C=CC=CC2=N1)/C=C/C3=CC=CC4=NSN=C34,409.0,,519.0,110.0,30,https://doi.org/10.3390/molecules27123857,TOL,2.3741,0.099
LD-BTD-1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C23,400.0,,501.0,101.0,0.37,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C23,410.0,,537.0,127.0,0.24,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C23,425.0,,568.0,143.0,0.14,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C23,437.0,,618.0,181.0,0.01,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C23,421.0,,628.0,207.0,0.01,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-1,CN(C)C1=CC=C(C=C1)C2=CC=CC3=NSN=C23,403.0,,,,,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-2,CN(C1C2C(=NSN=2)C=CC=1)[H],420.0,,513.0,93.0,0.42,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-2,CN(C1C2C(=NSN=2)C=CC=1)[H],430.0,,553.0,123.0,0.34,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-2,CN(C1C2C(=NSN=2)C=CC=1)[H],437.0,,568.0,131.0,0.22,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-2,CN(C1C2C(=NSN=2)C=CC=1)[H],446.0,,615.0,169.0,0.03,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-2,CN(C1C2C(=NSN=2)C=CC=1)[H],437.0,,629.0,192.0,0.01,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-2,CN(C1C2C(=NSN=2)C=CC=1)[H],429.0,,,,,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-3,CN(C)C1=CC=CC2=NSN=C21,424.0,,523.0,99.0,0.41,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-3,CN(C)C1=CC=CC2=NSN=C21,432.0,,558.0,126.0,0.34,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-3,CN(C)C1=CC=CC2=NSN=C21,434.0,,576.0,142.0,0.24,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-3,CN(C)C1=CC=CC2=NSN=C21,440.0,,624.0,184.0,0.06,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-3,CN(C)C1=CC=CC2=NSN=C21,432.0,,625.0,193.0,0.01,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-3,CN(C)C1=CC=CC2=NSN=C21,394.0,,,,,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-4,C1C=C(N(C(C)=O)[H])C2C(=NSN=2)C=1,372.0,,436.0,64.0,0.50,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-4,C1C=C(N(C(C)=O)[H])C2C(=NSN=2)C=1,374.0,,483.0,109.0,0.79,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-4,C1C=C(N(C(C)=O)[H])C2C(=NSN=2)C=1,374.0,,488.0,114.0,0.72,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-4,C1C=C(N(C(C)=O)[H])C2C(=NSN=2)C=1,373.0,,510.0,137.0,0.72,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-4,C1C=C(N(C(C)=O)[H])C2C(=NSN=2)C=1,352.0,,516.0,164.0,0.17,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-4,C1C=C(N(C(C)=O)[H])C2C(=NSN=2)C=1,352.0,,536.0,184.0,0.002,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-5,CCCC(=O)NC1=CC=CC2=NSN=C21,373.0,,467.0,94.0,0.58,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-5,CCCC(=O)NC1=CC=CC2=NSN=C21,375.0,,485.0,110.0,0.76,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-5,CCCC(=O)NC1=CC=CC2=NSN=C21,375.0,,486.0,111.0,0.69,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-5,CCCC(=O)NC1=CC=CC2=NSN=C21,373.0,,509.0,136.0,0.73,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-5,CCCC(=O)NC1=CC=CC2=NSN=C21,364.0,,515.0,151.0,0.16,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-5,CCCC(=O)NC1=CC=CC2=NSN=C21,354.0,,537.0,183.0,0.02,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-6,C1CCN(CC1)C2=CC=CC3=NSN=C32,413.0,,533.0,120.0,0.48,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-6,C1CCN(CC1)C2=CC=CC3=NSN=C32,420.0,,569.0,149.0,0.38,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-6,C1CCN(CC1)C2=CC=CC3=NSN=C32,420.0,,586.0,166.0,0.28,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-6,C1CCN(CC1)C2=CC=CC3=NSN=C32,423.0,,627.0,204.0,0.07,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-6,C1CCN(CC1)C2=CC=CC3=NSN=C32,413.0,,635.0,222.0,0.01,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-6,C1CCN(CC1)C2=CC=CC3=NSN=C32,388.0,,575.0,187.0,,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-7,C1=CC2=NSN=C2C(=C1)N3CCOCC3,403.0,,530.0,127.0,0.59,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-7,C1=CC2=NSN=C2C(=C1)N3CCOCC3,409.0,,563.0,154.0,0.50,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-7,C1=CC2=NSN=C2C(=C1)N3CCOCC3,408.0,,578.0,170.0,0.32,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-7,C1=CC2=NSN=C2C(=C1)N3CCOCC3,412.0,,620.0,208.0,0.08,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-7,C1=CC2=NSN=C2C(=C1)N3CCOCC3,402.0,,629.0,227.0,0.01,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-7,C1=CC2=NSN=C2C(=C1)N3CCOCC3,380.0,,,,,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-8,C1=CC2=NSN=C2C(=C1)N3CCSCC3,405.0,,526.0,121.0,0.63,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-8,C1=CC2=NSN=C2C(=C1)N3CCSCC3,414.0,,557.0,143.0,0.60,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-8,C1=CC2=NSN=C2C(=C1)N3CCSCC3,412.0,,573.0,161.0,0.36,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-8,C1=CC2=NSN=C2C(=C1)N3CCSCC3,417.0,,614.0,197.0,0.13,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-8,C1=CC2=NSN=C2C(=C1)N3CCSCC3,408.0,,618.0,210.0,0.01,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-8,C1=CC2=NSN=C2C(=C1)N3CCSCC3,381.0,,,,,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-9,CN1CCN(CC1)C2=CC=CC3=NSN=C32,409.0,,532.0,123.0,0.55,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-9,CN1CCN(CC1)C2=CC=CC3=NSN=C32,414.0,,565.0,151.0,0.19,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-9,CN1CCN(CC1)C2=CC=CC3=NSN=C32,414.0,,583.0,169.0,0.05,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
LD-BTD-9,CN1CCN(CC1)C2=CC=CC3=NSN=C32,416.0,,620.0,204.0,0.01,https://doi.org/10.1039/d2ra01404a,DMSO,46.826,0.444
LD-BTD-9,CN1CCN(CC1)C2=CC=CC3=NSN=C32,402.0,,624.0,222.0,0.01,https://doi.org/10.1039/d2ra01404a,MeOH,32.613,0.762
LD-BTD-9,CN1CCN(CC1)C2=CC=CC3=NSN=C32,380.0,,,,,https://doi.org/10.1039/d2ra01404a,H2O,78.35,1.0
LD-BTD-10,C1CCN(C1)C2=CC=CC3=NSN=C32,446.0,,526.0,80.0,0.53,https://doi.org/10.1039/d2ra01404a,HEX,1.88,0.009
LD-BTD-10,C1CCN(C1)C2=CC=CC3=NSN=C32,458.0,,563.0,105.0,0.44,https://doi.org/10.1039/d2ra01404a,TOL,2.3741,0.099
LD-BTD-10,C1CCN(C1)C2=CC=CC3=NSN=C32,457.0,,575.0,118.0,0.28,https://doi.org/10.1039/d2ra01404a,THF,7.58,0.605
